,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count,year,month,day,weekday,Weekend_FLG,Event_1day,Event_7days,Event_14days,Event_1month,Discount_off,GWP
50,Lancome,['Free Deluxe Sample Duo + Free Shipping' 'FREE'],2012-03-20,0.0,0.0,0.0,2012,3,20,Tuesday,False,Normal,Normal,Normal,Washington's Birthday,0.0,False
51,Lancome,Free Gifts ($169 value) with $35 purchase,2012-03-24,0.0,0.0,0.0,2012,3,24,Saturday,True,Normal,Normal,Normal,Normal,0.0,True
52,Lancome,Lancome:,2012-03-26,0.0,0.0,0.0,2012,3,26,Monday,False,Normal,Normal,Normal,Normal,0.0,False
53,Lancome,Free Gifts ($130 value) with $60 purchase,2012-04-15,0.0,0.0,0.0,2012,4,15,Sunday,False,Normal,Normal,Normal,Normal,0.0,True
54,Lancome,Free Sample Duo + Free Shipping,2012-04-20,0.0,0.0,0.0,2012,4,20,Friday,True,Normal,Normal,Normal,Normal,0.0,True
55,Lancome,"['Free 4 Piece Gift ($79 Value)'
 'Free Gifts ($109 value) with $35 purchase']",2012-04-28,0.0,0.0,0.0,2012,4,28,Saturday,True,Normal,Normal,Normal,Normal,0.0,False
56,Lancome,Lancome,2012-05-01,0.0,0.0,0.0,2012,5,1,Tuesday,False,Normal,Normal,Normal,Memorial Day,0.0,False
57,Lancome,20% off Any Order,2012-05-14,0.0,1.0,1.0,2012,5,14,Monday,False,Normal,Normal,Normal,Memorial Day,0.2,False
58,Lancome,Ending Today,2012-05-28,0.0,0.0,0.0,2012,5,28,Monday,False,Memorial Day,Memorial Day,Memorial Day,Memorial Day,0.0,False
59,Lancome,Free gifts,2012-05-30,0.0,0.0,0.0,2012,5,30,Wednesday,False,Normal,Memorial Day,Memorial Day,Memorial Day,0.0,False
60,Lancome,Lancome GWP: 4 Free Samples,2012-06-19,0.0,0.0,0.0,2012,6,19,Tuesday,False,Normal,Normal,Normal,Independence Day,0.0,True
61,Lancome,Lancome Coupon:,2012-06-23,0.0,0.0,0.0,2012,6,23,Saturday,True,Normal,Normal,Independence Day,Independence Day,0.0,False
62,Lancome,Today only!,2012-06-26,0.0,0.0,0.0,2012,6,26,Tuesday,False,Normal,Normal,Independence Day,Independence Day,0.0,False
63,Lancome,Ending Soon!,2012-06-28,0.0,0.0,0.0,2012,6,28,Thursday,False,Normal,Independence Day,Independence Day,Independence Day,0.0,False
64,Lancome,FREE samples,2012-06-29,0.0,0.0,0.0,2012,6,29,Friday,True,Normal,Independence Day,Independence Day,Independence Day,0.0,False
65,Lancome,Lancome Gift with Purchase:,2012-07-04,0.0,0.0,0.0,2012,7,4,Wednesday,False,Independence Day,Independence Day,Independence Day,Independence Day,0.0,True
66,Lancome,One Day Only,2012-07-07,0.0,0.0,0.0,2012,7,7,Saturday,True,Normal,Independence Day,Independence Day,Independence Day,0.0,False
67,Lancome,Lancome GWP:,2012-07-15,0.0,0.0,0.0,2012,7,15,Sunday,False,Normal,Normal,Independence Day,Independence Day,0.0,True
68,Lancome,One Day Only,2012-07-20,0.0,0.0,0.0,2012,7,20,Friday,True,Normal,Normal,Normal,Independence Day,0.0,False
69,Lancome,One Day Only,2012-07-24,0.0,0.0,0.0,2012,7,24,Tuesday,False,Normal,Normal,Normal,Independence Day,0.0,False
70,Lancome,Lancome Coupon:,2012-07-31,0.0,0.0,0.0,2012,7,31,Tuesday,False,Normal,Normal,Normal,Independence Day,0.0,False
