,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count,year,month,day,weekday,Weekend_FLG,Event_1day,Event_7days,Event_14days,Event_1month,Discount_off,GWP
124,Clinique,['Free Shipping' 'Free 2 Serum Minis'],2013-06-28,0.0,0.0,0.0,2013,6,28,Friday,True,Normal,Independence Day,Independence Day,Independence Day,0.0,False
125,Clinique,Free 2-pc Hydrate Skin Treats,2013-06-30,0.0,0.0,0.0,2013,6,30,Sunday,False,Normal,Independence Day,Independence Day,Independence Day,0.0,False
126,Clinique,FREE Chubby Stick Mini with any $35 purchase,2013-07-12,0.0,2.0,0.0,2013,7,12,Friday,True,Normal,Normal,Independence Day,Independence Day,0.0,False
127,Clinique,Free 3 Minis + Free shipping,2013-07-20,0.0,2.0,0.0,2013,7,20,Saturday,True,Normal,Normal,Normal,Independence Day,0.0,False
128,Clinique,Free Custom Clinique Travel Cosmetics Bag & 2 Repairwear Laser Focus Minis,2013-07-23,0.0,0.0,0.0,2013,7,23,Tuesday,False,Normal,Normal,Normal,Independence Day,0.0,True
129,Clinique,2 travel-sized de-agers plus a fun cosmetics bag FREE with any $35 purchase,2013-07-25,0.0,0.0,0.0,2013,7,25,Thursday,False,Normal,Normal,Normal,Independence Day,0.0,False
130,Clinique,Free Clinique Happy Mini+Free shipping,2013-07-26,0.0,0.0,0.0,2013,7,26,Friday,True,Normal,Normal,Normal,Independence Day,0.0,False
131,Clinique,Free 2 Minis of Repairwear Laser Focus Serum,2013-08-04,0.0,2.0,0.0,2013,8,4,Sunday,False,Normal,Normal,Normal,Labor Day,0.0,False
132,Clinique,FREE Deluxe 3-Step Acne Trial Kit with any $35 purchase,2013-08-12,0.0,4.0,0.0,2013,8,12,Monday,False,Normal,Normal,Normal,Labor Day,0.0,False
133,Clinique,Free 2 Minis of Repairwear Laser Focus Serum,2013-08-18,0.0,0.0,0.0,2013,8,18,Sunday,False,Normal,Normal,Normal,Labor Day,0.0,False
134,Clinique,3 FREE Eye Minis+ Free Shipping,2013-08-20,0.0,1.0,0.0,2013,8,20,Tuesday,False,Normal,Normal,Labor Day,Labor Day,0.0,False
135,Clinique,"FREE Dramatically Different Moisturizer+(1.7oz, 6-week supply)",2013-08-26,0.0,5.0,0.0,2013,8,26,Monday,False,Normal,Normal,Labor Day,Labor Day,0.0,False
136,Clinique,4 FREE Travel Minis+ Free Shipping,2013-09-04,0.0,5.0,0.0,2013,9,4,Wednesday,False,Normal,Labor Day,Labor Day,Labor Day,0.0,True
137,Clinique,Free Eye Cream Mini + Free Shipping,2013-09-13,0.0,0.0,0.0,2013,9,13,Friday,True,Normal,Normal,Labor Day,Labor Day,0.0,False
138,Clinique,Free 4 Fall Minis,2013-09-15,0.0,1.0,0.0,2013,9,15,Sunday,False,Normal,Normal,Labor Day,Labor Day,0.0,False
139,Clinique,Free Fall makeup Trio,2013-09-16,0.0,1.0,0.0,2013,9,16,Monday,False,Normal,Normal,Normal,Labor Day,0.0,False
140,Clinique,Free 2 skincare minis,2013-09-18,0.0,1.0,0.0,2013,9,18,Wednesday,False,Normal,Normal,Normal,Labor Day,0.0,False
141,Clinique,Free Travel size of Clinique's #1 Moisturizer,2013-09-20,0.0,1.0,0.0,2013,9,20,Friday,True,Normal,Normal,Normal,Labor Day,0.0,True
142,Clinique,Free Shipping,2013-09-21,0.0,1.0,0.0,2013,9,21,Saturday,True,Normal,Normal,Normal,Labor Day,0.0,False
